Date,Open,High,Low,Close,Year,Full_Date,Price_Range,Returns
Jan-17,231.98,284.31,226.3,279.1,2006,2006-01-17,58.00999999999999,20.68667300873477
Feb-17,280.4,294.19,275.61,290.56,2006,2006-02-17,18.579999999999984,4.106055177355783
Mar-17,290.6,311.57,283.6,309.82,2006,2006-03-17,27.96999999999997,6.628579295154191
Apr-17,309.6,330.58,300.2,326.14,2006,2006-04-17,30.379999999999995,5.2675747208056345
May-17,326.0,330.3,275.15,286.38,2006,2006-05-17,55.150000000000034,-12.19108358373704
Jun-17,286.66,306.34,280.21,292.37,2006,2006-06-17,26.129999999999995,2.0916265102311593
Jul-17,293.04,372.0,290.78,361.96,2006,2006-07-17,81.22000000000003,23.80203167219619
Aug-17,363.0,368.52,337.37,351.15,2006,2006-08-17,31.149999999999977,-2.986517847275938
Sep-17,351.0,383.25,345.5,350.0,2006,2006-09-17,37.75,-0.32749537234799675
Oct-17,354.6,375.75,299.0,314.35,2006,2006-10-17,76.75,-10.185714285714276
Nov-17,315.5,329.8,296.0,306.8,2006,2006-11-17,33.80000000000001,-2.40178145379355
Dec-17,307.2,319.0,300.65,315.05,2006,2006-12-17,18.350000000000023,2.6890482398957083
Jan-18,314.0,366.0,307.35,354.45,2006,2006-01-18,58.64999999999998,12.50595143627995
Feb-18,355.0,366.5,304.65,322.25,2006,2006-02-18,61.85000000000002,-9.084497108195787
Mar-18,320.7,325.8,285.1,304.9,2006,2006-03-18,40.69999999999999,-5.384018619084574
Apr-18,305.0,368.75,303.3,362.05,2006,2006-04-18,65.44999999999999,18.74385044276814
May-18,362.85,364.4,325.7,346.2,2006,2006-05-18,38.69999999999999,-4.377848363485715
Jun-18,348.0,350.1,327.35,339.6,2006,2006-06-18,22.75,-1.9064124783362169
Jul-18,340.0,393.35,332.45,367.9,2006,2006-07-18,60.900000000000034,8.333333333333325
Aug-18,369.95,404.0,338.0,343.4,2006,2006-08-18,66.0,-6.659418320195709
Sep-18,347.2,350.0,166.15,183.45,2006,2006-09-18,183.85,-46.57833430401863
Oct-18,180.0,268.45,168.6,188.05,2006,2006-10-18,99.85,2.507495230307999
Nov-18,192.0,231.4,147.0,169.65,2006,2006-11-18,84.4,-9.784631746875839
Dec-18,174.0,194.3,160.2,181.75,2006,2006-12-18,34.10000000000002,7.132331270262293
Jan-19,182.85,236.3,181.15,194.3,2006,2006-01-19,55.150000000000006,6.905089408528209
Feb-19,197.0,236.9,167.65,231.2,2006,2006-02-19,69.25,18.991250643335043
Mar-19,234.6,281.3,228.8,275.05,2006,2006-03-19,52.5,18.966262975778548
Apr-19,277.0,285.9,165.3,168.0,2006,2006-04-19,120.59999999999997,-38.92019632794038
May-19,163.3,178.05,133.05,147.95,2006,2006-05-19,45.0,-11.934523809523812
Jun-19,147.95,153.8,98.75,108.7,2006,2006-06-19,55.05000000000001,-26.529232848935447
Jul-19,109.6,110.6,81.75,91.3,2006,2006-07-19,28.849999999999994,-16.00735970561178
Aug-19,89.2,92.4,53.15,59.5,2006,2006-08-19,39.25000000000001,-34.8302300109529
Sep-19,59.5,72.55,40.95,41.45,2006,2006-09-19,31.599999999999994,-30.336134453781504
Oct-19,42.0,76.65,29.05,70.45,2006,2006-10-19,47.60000000000001,69.96381182147164
Nov-19,71.0,75.35,59.95,68.3,2006,2006-11-19,15.399999999999991,-3.0518097941802824
Dec-19,70.0,70.5,40.7,46.95,2006,2006-12-19,29.799999999999997,-31.259150805270853
Jan-20,46.9,48.5,36.55,39.2,2006,2006-01-20,11.950000000000003,-16.50692225772098
Feb-20,39.1,40.7,33.6,34.55,2006,2006-02-20,7.100000000000001,-11.862244897959195
Mar-20,35.2,87.95,5.55,22.45,2006,2006-03-20,82.4,-35.02170767004341
Apr-20,22.3,30.45,20.3,27.95,2006,2006-04-20,10.149999999999999,24.498886414253906
May-20,27.8,31.6,25.2,26.85,2006,2006-05-20,6.400000000000002,-3.935599284436486
Jun-20,27.75,31.95,25.55,25.6,2006,2006-06-20,6.399999999999999,-4.655493482309126
Jul-20,25.6,28.3,11.1,11.95,2006,2006-07-20,17.200000000000003,-53.3203125
Aug-20,12.0,17.16,11.85,14.37,2006,2006-08-20,5.3100000000000005,20.251046025104614
Sep-20,14.3,15.34,12.75,13.15,2006,2006-09-20,2.59,-8.489909533750861
Oct-20,13.3,14.01,12.11,12.42,2006,2006-10-20,1.9000000000000004,-5.551330798479093
Nov-20,12.41,14.9,12.21,14.67,2006,2006-11-20,2.6899999999999995,18.1159420289855
